Ligne,Parcours,Mise_en_service,Dernier_prolongement,Longueur_en_km,Nombre_de_stations,Voitures_par_rame,Temps_de_parcours_en_min,Millions_de_voyageurs,Titres
"1",La Défense ↔ Château de Vincennes,1900,1992,"16.6",25,6,37,112,306850
"2",Porte Dauphine ↔ Nation,1900,1903,"12.4",25,5,34,68,186302
"3",Pont de Levallois ↔ Gallieni,1904,1971,"11.7",25,5,32,61,167124
"3bis",Gambetta ↔ Porte des Lilas,1971,1971,"1.3",4,3,4,61,0
"4",Porte de Clignancourt ↔ Bagneux - Lucie Aubrac,1908,2022,"14.0",29,6,35,106,209411
"5",Bobigny - Pablo Picasso ↔ Place d'Italie,1906,1985,"14.6",22,5,35,78,213699
"6",Charles de Gaulle - Étoile ↔ Nation,1907,1942,"13.6",28,5,34,66,180822
"7",La Courneuve - 8 Mai 1945 ↔ Villejuif - Louis Aragon / Mairie d'Ivry,1910,1987,"22.5",38,5,46,87,238357
"7bis",Louis Blanc ↔ Pré-Saint-Gervais,1967,1967,"3.1",8,3,9,87,0
"8",Balard ↔ (Créteil) Pointe du Lac,1913,2011,"23.4",38,5,52,67,183562
"9",Pont de Sèvres ↔ Mairie de Montreuil,1922,1937,"19.6",37,5,51,94,257535
"10",Boulogne - Pont de Saint-Cloud ↔ Gare d'Austerlitz,1923,1981,"11.7",23,5,28,29,79453
"11",Châtelet ↔ Mairie des Lilas,1935,1937,"6.3",13,4,16,31,84932
"12",Mairie d'Aubervilliers ↔ Mairie d'Issy,1910,2022,"17.2",31,5,44,54,147946
"13",(Asnières-Gennevilliers) Les Courtilles / Saint-Denis - Université ↔ Châtillon - Montrouge,1911,2008,"24.4",32,5,"37,5",83,227398
"14",Mairie de Saint-Ouen ↔ Olympiades,1998,2020,"14.5",13,6,25,79,216439
